module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
delbot_platform.document_intelligence.processor.__init__,delbot_platform/document_intelligence/processor/__init__.py,document_intelligence,module,0,0,0,0,0,7,146
delbot_platform.document_intelligence.processor.document_processor,delbot_platform/document_intelligence/processor/document_processor.py,document_intelligence,module,2,0,1,2,0,34,693
delbot_platform.documents.__init__,delbot_platform/documents/__init__.py,documents,module,0,0,0,0,0,13,148
delbot_platform.documents.chunking.__init__,delbot_platform/documents/chunking/__init__.py,documents,module,0,0,0,0,0,16,226
delbot_platform.documents.chunking.chunk_builder,delbot_platform/documents/chunking/chunk_builder.py,documents,builder,1,0,1,2,0,137,3058
delbot_platform.documents.chunking.policy.__init__,delbot_platform/documents/chunking/policy/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.chunking.policy.policy,delbot_platform/documents/chunking/policy/policy.py,documents,module,1,0,1,0,0,31,595
delbot_platform.documents.classification.__init__,delbot_platform/documents/classification/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.classification.academic_heading,delbot_platform/documents/classification/academic_heading.py,documents,module,0,0,1,1,0,45,534
delbot_platform.documents.classification.document_type,delbot_platform/documents/classification/document_type.py,documents,module,4,0,1,0,0,23,281
delbot_platform.documents.classification.heading,delbot_platform/documents/classification/heading.py,documents,module,2,0,1,7,0,312,6512
delbot_platform.documents.classification.heading_score,delbot_platform/documents/classification/heading_score.py,documents,module,0,0,1,1,0,118,1448
delbot_platform.documents.classification.page_classifier,delbot_platform/documents/classification/page_classifier.py,documents,module,0,0,1,1,0,47,808
delbot_platform.documents.classification.page_region,delbot_platform/documents/classification/page_region.py,documents,module,0,0,1,0,0,19,236
delbot_platform.documents.classification.page_type,delbot_platform/documents/classification/page_type.py,documents,module,1,0,1,1,0,28,383
delbot_platform.documents.embedding.__init__,delbot_platform/documents/embedding/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.embedding.base,delbot_platform/documents/embedding/base.py,documents,module,3,0,1,0,1,25,423
delbot_platform.documents.embedding.factory.__init__,delbot_platform/documents/embedding/factory/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.embedding.factory.provider,delbot_platform/documents/embedding/factory/provider.py,documents,module,1,0,1,1,0,41,699
delbot_platform.documents.embedding.mapper.__init__,delbot_platform/documents/embedding/mapper/__init__.py,documents,module,0,0,0,0,0,7,102
delbot_platform.documents.embedding.mapper.vector_mapper,delbot_platform/documents/embedding/mapper/vector_mapper.py,documents,mapper,0,0,1,2,0,55,1403
delbot_platform.documents.embedding.models.__init__,delbot_platform/documents/embedding/models/__init__.py,documents,module,0,0,0,0,0,7,93
delbot_platform.documents.embedding.models.embedding_vector,delbot_platform/documents/embedding/models/embedding_vector.py,documents,module,0,0,1,2,0,99,2257
delbot_platform.documents.embedding.pipeline.__init__,delbot_platform/documents/embedding/pipeline/__init__.py,documents,module,0,0,0,0,0,0,0
delbot_platform.documents.embedding.pipeline.pipeline,delbot_platform/documents/embedding/pipeline/pipeline.py,documents,pipeline,2,0,1,1,1,42,710
delbot_platform.documents.embedding.providers.__init__,delbot_platform/documents/embedding/providers/__init__.py,documents,module,0,0,0,0,0,0,0
